(350, ('00:1f:29:57:94:f2', '00:10:ec:01:e5:43'), ('169.254.174.5', '169.254.174.2'), [2048, 17664, 332, 3162, 0, 64, 12501, 12500, 312, 0, 0, 0, 0, 0, 297, 0, 0, 0, 0, 0, 1, 7, 6, 0, 15, 18009, 4693], [[0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1], [1, 0, 0, 1, 1, 1], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0], 0], [0, 0, 0, 0, [0, 0, 1, 1, 1]])
(78, ('00:1f:29:57:94:f2', '00:10:ec:01:e5:43'), ('169.254.174.5', '169.254.174.2'), [2048, 17664, 60, 3163, 0, 64, 12501, 12500, 40, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 18009, 4695], [[0, 1, 0, 1], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 0], [0, 0, 0, 0, [0, 0, 0, 0, 0]])
(98, ('00:1f:29:57:94:f2', '00:10:ec:01:e5:43'), ('169.254.174.5', '169.254.174.2'), [2048, 17664, 80, 3164, 0, 64, 12501, 12500, 60, 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 18009, 7308], [[0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 0], [0, 0, 0, 0, [0, 0, 0, 0, 0]])
(146, ('00:1f:29:57:94:f2', '00:10:ec:01:e5:43'), ('169.254.174.5', '169.254.174.2'), [2048, 17664, 128, 3165, 0, 64, 12501, 12500, 108, 0, 0, 0, 0, 0, 93, 0, 0, 0, 0, 0, 0, 0, 40, 0, 15, 18009, 7311], [[0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 0], [0, 0, 0, 0, [0, 0, 0, 0, 0]])
(118, ('00:1f:29:57:94:f2', '00:10:ec:01:e5:43'), ('169.254.174.5', '169.254.174.2'), [2048, 17664, 100, 3166, 0, 64, 12501, 12500, 80, 0, 0, 0, 0, 0, 65, 0, 0, 0, 0, 1, 24, 10, 48, 0, 15, 18009, 7313], [[0, 0, 0, 0], [0, 1, 0, 0, 1, 1, 0, 1], [1, 0, 1, 1, 1], [1, 1, 1, 0, 0, 0], [0, 0, 1, 0, 1, 0], [0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 0], 0], [0, 0, 0, 0, [0, 1, 0, 1, 0]])
(126, ('00:1f:29:57:94:f2', '00:10:ec:01:e5:43'), ('169.254.174.5', '169.254.174.2'), [2048, 17664, 108, 3167, 0, 64, 12501, 12500, 88, 0, 0, 0, 0, 0, 73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 18009, 7315], [[0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 0], [0, 0, 0, 0, [0, 0, 0, 0, 0]])
(590, ('00:1f:29:57:94:f2', '00:10:ec:01:e5:43'), ('169.254.174.5', '169.254.174.2'), [2048, 17664, 572, 3168, 0, 64, 12501, 12500, 552, 0, 0, 0, 0, 0, 537, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 18009, 8170], [[0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 0], [0, 0, 0, 0, [0, 0, 0, 0, 0]])
(246, ('00:1f:29:57:94:f2', '00:10:ec:01:e5:43'), ('169.254.174.5', '169.254.174.2'), [2048, 17664, 228, 3169, 0, 64, 12501, 12500, 208, 0, 0, 0, 0, 0, 193, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 18009, 8196], [[0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 0], [0, 0, 0, 0, [0, 0, 0, 0, 0]])
(334, ('00:1f:29:57:94:f2', '00:10:ec:01:e5:43'), ('169.254.174.5', '169.254.174.2'), [2048, 17664, 316, 3170, 0, 64, 12501, 12500, 296, 0, 0, 0, 0, 0, 281, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 18009, 8200], [[0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 0], [0, 0, 0, 0, [0, 0, 0, 0, 0]])
(210, ('00:1f:29:57:94:f2', '00:10:ec:01:e5:43'), ('169.254.174.5', '169.254.174.2'), [2048, 17664, 192, 3171, 0, 64, 12501, 12500, 172, 0, 0, 0, 0, 0, 157, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 18009, 9930], [[0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 0], [0, 0, 0, 0, [0, 0, 0, 0, 0]])
(94, ('00:1f:29:57:94:f2', '00:10:ec:01:e5:43'), ('169.254.174.5', '169.254.174.2'), [2048, 17664, 76, 3172, 0, 64, 12501, 12500, 56, 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 18009, 10799], [[0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [1, 1, 1, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0], 1], [0, 0, 0, 0, [0, 0, 0, 0, 0]])
